SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
US-Atq,Atqasuk,Tier2,Tier2: 2003,Tier2: 2008,70.4696,-157.4089,15,WET,-9.7,93
US-Blo,Blodgett Forest,"Tier1,",Tier1: 1997,Tier1: 2007,38.8953,-120.6328,1315,ENF,11.09,1226
,,Tier2,Tier2: 1997,Tier2: 2007,,,,,,
US-Cop,Corral Pocket,"Tier1,",Tier1: 2001,Tier1: 2007,38.09,-109.39,1520,GRA,,
,,Tier2,Tier2: 2001,Tier2: 2007,,,,,,
US-CRT,Curtice Walter-Berger cropland,Tier2,Tier2: 2011,Tier2: 2013,41.6285,-83.3471,180,CRO,10.1,849
US-GBT,GLEES Brooklyn Tower,"Tier1,",Tier1: 1999,Tier1: 2006,41.3658,-106.2397,3191,ENF,0.8,1200
,,Tier2,Tier2: 1999,Tier2: 2006,,,,,,
US-GLE,GLEES,"Tier1,",Tier1: 2004,Tier1: 2014,41.3665,-106.2399,3197,ENF,0.8,1200
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
US-Goo,Goodwin Creek,Tier2,Tier2: 2002,Tier2: 2006,34.2547,-89.8735,87,GRA,15.89,1426
US-Ha1,Harvard Forest EMS Tower (HFR1),"Tier1,",Tier1: 1991,Tier1: 2012,42.5378,-72.1715,340,DBF,6.62,1071
,,Tier2,Tier2: 1991,Tier2: 2012,,,,,,
US-IB2,Fermi National Accelerator Laboratory- Batavia (Prairie site),Tier2,Tier2: 2004,Tier2: 2011,41.8406,-88.241,226.5,GRA,9.04,930
US-Ivo,Ivotuk,Tier2,Tier2: 2004,Tier2: 2007,68.4865,-155.7503,568,WET,-8.28,304
US-KS1,Kennedy Space Center (slash pine),Tier2,Tier2: 2002,Tier2: 2002,28.4583,-80.6709,1,ENF,21.9,1266
US-KS2,Kennedy Space Center (scrub oak),"Tier1,",Tier1: 2003,Tier1: 2006,28.6086,-80.6715,3,CSH,21.66,1294
,,Tier2,Tier2: 2003,Tier2: 2006,,,,,,
US-Lin,Lindcove Orange Orchard,Tier2,Tier2: 2009,Tier2: 2010,36.3566,-119.8423,131,CRO,,
US-Los,Lost Creek,"Tier1,",Tier1: 2000,Tier1: 2014,46.0827,-89.9792,480,WET,4.08,828
,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
US-LWW,Little Washita Watershed,Tier2,Tier2: 1997,Tier2: 1998,34.9604,-97.9789,365,GRA,16.09,805
US-Me1,Metolius - Eyerly burn,"Tier1,",Tier1: 2004,Tier1: 2005,44.5794,-121.5,896,ENF,7.88,705
,,Tier2,Tier2: 2004,Tier2: 2005,,,,,,
US-Me2,Metolius mature ponderosa pine,"Tier1,",Tier1: 2002,Tier1: 2014,44.4523,-121.5574,1253,ENF,6.28,523
,,Tier2,Tier2: 2002,Tier2: 2014,,,,,,
US-Me3,Metolius-second young aged pine,Tier2,Tier2: 2004,Tier2: 2009,44.3154,-121.6078,1005,ENF,7.07,719
US-Me4,Metolius-old aged ponderosa pine,Tier2,Tier2: 1996,Tier2: 2000,44.4992,-121.6224,922,ENF,7.61,1039
US-Me5,Metolius-first young aged pine,Tier2,Tier2: 2000,Tier2: 2002,44.4372,-121.5668,1188,ENF,6.47,591
US-Me6,Metolius Young Pine Burn,"Tier1,",Tier1: 2010,Tier1: 2014,44.3233,-121.6078,998,ENF,7.59,494
,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
US-MMS,Morgan Monroe State Forest,"Tier1,",Tier1: 1999,Tier1: 2014,39.3232,-86.4131,275,DBF,10.85,1032
,,Tier2,Tier2: 1999,Tier2: 2014,,,,,,
US-Myb,Mayberry Wetland,"Tier1,",Tier1: 2010,Tier1: 2014,38.0498,-121.7651,-1,WET,15.9,338
,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
US-Ne1,Mead - irrigated continuous maize site,"Tier1,",Tier1: 2001,Tier1: 2013,41.1651,-96.4766,361,CRO,10.07,790
,,Tier2,Tier2: 2001,Tier2: 2013,,,,,,
US-Ne2,Mead - irrigated maize-soybean rotation site,"Tier1,",Tier1: 2001,Tier1: 2013,41.1649,-96.4701,362,CRO,10.08,789
,,Tier2,Tier2: 2001,Tier2: 2013,,,,,,
US-Ne3,Mead - rainfed maize-soybean rotation site,"Tier1,",Tier1: 2001,Tier1: 2013,41.1797,-96.4397,363,CRO,10.11,784
,,Tier2,Tier2: 2001,Tier2: 2013,,,,,,
US-NR1,Niwot Ridge Forest (LTER NWT1),"Tier1,",Tier1: 1998,Tier1: 2014,40.0329,-105.5464,3050,ENF,1.5,800
,,Tier2,Tier2: 1998,Tier2: 2014,,,,,,
US-Oho,Oak Openings,Tier2,Tier2: 2004,Tier2: 2013,41.5545,-83.8438,230,DBF,10.1,849
US-ORv,Olentangy River Wetland Research Park,"Tier1,",Tier1: 2011,Tier1: 2011,40.0201,-83.0183,221,WET,11.63,1499
,,Tier2,Tier2: 2011,Tier2: 2011,,,,,,
US-PFa,Park Falls/WLEF,"Tier1,",Tier1: 1995,Tier1: 2014,45.9459,-90.2723,470,MF,4.33,823
,,Tier2,Tier2: 1995,Tier2: 2014,,,,,,
US-Prr,Poker Flat Research Range Black Spruce Forest,"Tier1,",Tier1: 2010,Tier1: 2013,65.1237,-147.4876,210,ENF,-2,275
,,Tier2,Tier2: 2010,Tier2: 2014,,,,,,
US-SRC,Santa Rita Creosote,Tier2,Tier2: 2008,Tier2: 2014,31.9083,-110.8395,991,OSH,,
US-SRG,Santa Rita Grassland,"Tier1,",Tier1: 2008,Tier1: 2014,31.7894,-110.8277,1291,GRA,17,420
,,Tier2,Tier2: 2008,Tier2: 2014,,,,,,
US-SRM,Santa Rita Mesquite,"Tier1,",Tier1: 2004,Tier1: 2014,31.8214,-110.8661,1120,WSA,17.92,380
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
US-Sta,Saratoga,Tier2,Tier2: 2005,Tier2: 2009,41.3966,-106.8024,2069,OSH,5.1,
US-Syv,Sylvania Wilderness Area,"Tier1,",Tier1: 2001,Tier1: 2014,46.242,-89.3477,540,MF,3.81,826
,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
US-Ton,Tonzi Ranch,"Tier1,",Tier1: 2001,Tier1: 2014,38.4316,-120.966,177,WSA,15.8,559
,,Tier2,Tier2: 2001,Tier2: 2014,,,,,,
US-Tw1,Twitchell Wetland West Pond,"Tier1,",Tier1: 2012,Tier1: 2014,38.1074,-121.6469,-9,WET,15.5,421
,,Tier2,Tier2: 2012,Tier2: 2014,,,,,,
US-Tw2,Twitchell Corn,"Tier1,",Tier1: 2012,Tier1: 2013,38.1047,-121.6433,-5,CRO,15.5,421
,,Tier2,Tier2: 2012,Tier2: 2013,,,,,,
US-Tw3,Twitchell Alfalfa,"Tier1,",Tier1: 2013,Tier1: 2014,38.1159,-121.6467,-9,CRO,15.6,421
,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
US-Tw4,Twitchell East End Wetland,"Tier1,",Tier1: 2013,Tier1: 2014,38.103,-121.6414,-5,WET,15.6,421
,,Tier2,Tier2: 2013,Tier2: 2014,,,,,,
US-Twt,Twitchell Island,"Tier1,",Tier1: 2009,Tier1: 2014,38.1087,-121.653,,CRO,15.6,421
,,Tier2,Tier2: 2009,Tier2: 2014,,,,,,
US-UMB,Univ. of Mich. Biological Station,"Tier1,",Tier1: 2000,Tier1: 2014,45.5598,-84.7138,234,DBF,5.83,803
,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
US-UMd,UMBS Disturbance,"Tier1,",Tier1: 2007,Tier1: 2014,45.5625,-84.6975,239,DBF,5.83,803
,,Tier2,Tier2: 2007,Tier2: 2014,,,,,,
US-Var,Vaira Ranch- Ione,"Tier1,",Tier1: 2000,Tier1: 2014,38.4133,-120.9507,129,GRA,15.8,559
,,Tier2,Tier2: 2000,Tier2: 2014,,,,,,
US-WCr,Willow Creek,"Tier1,",Tier1: 1999,Tier1: 2014,45.8059,-90.0799,520,DBF,4.02,787
,,Tier2,Tier2: 1999,Tier2: 2014,,,,,,
US-Whs,Walnut Gulch Lucky Hills Shrub,"Tier1,",Tier1: 2007,Tier1: 2014,31.7438,-110.0522,1370,OSH,17.6,320
,,Tier2,Tier2: 2007,Tier2: 2014,,,,,,
US-Wi0,Young red pine (YRP),"Tier1,",Tier1: 2002,Tier1: 2002,46.6188,-91.0814,349,ENF,,
,,Tier2,Tier2: 2002,Tier2: 2002,,,,,,
US-Wi1,Intermediate hardwood (IHW),Tier2,Tier2: 2003,Tier2: 2003,46.7305,-91.2329,352,DBF,,
US-Wi2,Intermediate red pine (IRP),Tier2,Tier2: 2003,Tier2: 2003,46.6869,-91.1528,395,ENF,,
US-Wi3,Mature hardwood (MHW),"Tier1,",Tier1: 2002,Tier1: 2004,46.6347,-91.0987,411,DBF,,
,,Tier2,Tier2: 2002,Tier2: 2004,,,,,,
US-Wi4,Mature red pine (MRP),"Tier1,",Tier1: 2002,Tier1: 2005,46.7393,-91.1663,352,ENF,,
,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
US-Wi5,Mixed young jack pine (MYJP),Tier2,Tier2: 2004,Tier2: 2004,46.6531,-91.0858,353,ENF,,
US-Wi6,Pine barrens #1 (PB1),"Tier1,",Tier1: 2002,Tier1: 2003,46.6249,-91.2982,371,OSH,,
,,Tier2,Tier2: 2002,Tier2: 2003,,,,,,
US-Wi7,Red pine clearcut (RPCC),Tier2,Tier2: 2005,Tier2: 2005,46.6491,-91.0693,335,OSH,,
US-Wi8,Young hardwood clearcut (YHW),Tier2,Tier2: 2002,Tier2: 2002,46.7223,-91.2524,348,DBF,,
US-Wi9,Young Jack pine (YJP),"Tier1,",Tier1: 2004,Tier1: 2005,46.6188,-91.0814,350,ENF,,
,,Tier2,Tier2: 2004,Tier2: 2005,,,,,,
US-Wkg,Walnut Gulch Kendall Grasslands,"Tier1,",Tier1: 2004,Tier1: 2014,31.7365,-109.9419,1531,GRA,15.64,407
,,Tier2,Tier2: 2004,Tier2: 2014,,,,,,
US-WPT,Winous Point North Marsh,Tier2,Tier2: 2011,Tier2: 2013,41.4646,-82.9962,175,WET,10.1,849
ZA-Kru,Skukuza,"Tier1,",Tier1: 2000,Tier1: 2010,-25.0197,31.4969,359,SAV,21.9,547
,,Tier2,Tier2: 2000,Tier2: 2013,,,,,,
ZM-Mon,Mongu,"Tier1,",Tier1: 2000,Tier1: 2009,-15.4378,23.2528,1053,DBF,25,945
,,Tier2,Tier2: 2000,Tier2: 2009,,,,,,
