SITE_ID,SITE_NAME,2015_DATA_TIER,2015_DATA_START,2015_DATA_END,LOCATION_LAT,LOCATION_LONG,LOCATION_ELEV,IGBP,MAT,MAP
CA-NS2,UCI-1930 burn site,"Tier1,",Tier1: 2001,Tier1: 2005,55.9058,-98.5247,260,ENF,-2.88,500
,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS3,UCI-1964 burn site,"Tier1,",Tier1: 2001,Tier1: 2005,55.9117,-98.3822,260,ENF,-2.87,502
,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS4,UCI-1964 burn site wet,"Tier1,",Tier1: 2002,Tier1: 2005,55.9144,-98.3806,260,ENF,-2.87,502
,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
CA-NS5,UCI-1981 burn site,"Tier1,",Tier1: 2001,Tier1: 2005,55.8631,-98.485,260,ENF,-2.86,500
,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS6,UCI-1989 burn site,"Tier1,",Tier1: 2001,Tier1: 2005,55.9167,-98.9644,244,OSH,-3.08,495
,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-NS7,UCI-1998 burn site,"Tier1,",Tier1: 2002,Tier1: 2005,56.6358,-99.9483,297,OSH,-3.52,483
,,Tier2,Tier2: 2002,Tier2: 2005,,,,,,
CA-Oas,"Saskatchewan - Western Boreal, Mature Aspen",Tier2,Tier2: 1996,Tier2: 2010,53.6289,-106.1978,530,DBF,0.34,429
CA-Obs,"Saskatchewan - Western Boreal, Mature Black Spruce",Tier2,Tier2: 1997,Tier2: 2010,53.9872,-105.1178,628.94,ENF,0.79,406
CA-Qfo,"Quebec - Eastern Boreal, Mature Black Spruce","Tier1,",Tier1: 2003,Tier1: 2010,49.6925,-74.3421,382,ENF,-0.36,962
,,Tier2,Tier2: 2003,Tier2: 2010,,,,,,
CA-SF1,"Saskatchewan - Western Boreal, forest burned in 1977","Tier1,",Tier1: 2003,Tier1: 2006,54.485,-105.8176,536,ENF,0.4,470
,,Tier2,Tier2: 2003,Tier2: 2006,,,,,,
CA-SF2,"Saskatchewan - Western Boreal, forest burned in 1989","Tier1,",Tier1: 2001,Tier1: 2005,54.2539,-105.8775,520,ENF,0.4,470
,,Tier2,Tier2: 2001,Tier2: 2005,,,,,,
CA-SF3,"Saskatchewan - Western Boreal, forest burned in 1998","Tier1,",Tier1: 2001,Tier1: 2006,54.0916,-106.0053,540,OSH,0.4,470
